image_id,x1,y1,x2,y2
'6e831b2533328828.jpg',186,45,563,684
'c120c4f86b86e56b.jpg',274,95,597,469
'd9cee15f3f2b7953.jpg',358,116,496,318
'411def78dc4b5958.jpg',319,80,445,232
'c8aa50aec3bcc29f.jpg',232,156,378,401
'03fe1cda88f76e1b.jpg',303,25,426,239
'2bd28f161ef292a0.jpg',411,241,594,471
'cb72939d30abf610.jpg',404,126,722,568
'b41172973f83fba8.jpg',314,112,583,457
'fa7ef0c3bffad540.jpg',284,82,532,368
'a321f82547af4236.jpg',418,73,684,502
'803a4641377648ec.jpg',244,162,488,538
'c97a75e20befc576.jpg',307,70,455,322
'e8d8bc6fcd7db75e.jpg',604,55,782,287
'23945caa77dd9cdd.jpg',328,227,483,501
'698c6866c86bba33.jpg',251,186,454,413
'8a4c26b8a333d1f3.jpg',243,169,342,476
'5e9718124ce43576.jpg',456,159,584,301
'fe5d852bdae11858.jpg',234,285,434,602
'a8a8474b908ef5a4.jpg',99,35,372,552
'7fe2fbd201d8f301.jpg',236,193,494,496
'82bedc4e5366da6d.jpg',214,137,391,594
'e12746592daceb6b.jpg',315,290,401,616
'46b5e8ba3e3f1674.jpg',417,130,611,492
'2633905fdf43e90e.jpg',516,73,757,457
'845acdb0c7de3b0f.jpg',268,79,400,247
'224db15b804b1cc0.jpg',382,372,557,601
'b70e32ae8cc386de.jpg',236,171,607,778
'0de493e8620d5dee.jpg',396,158,569,561
'c45bb2f3d2ce33ef.jpg',397,86,638,459
'0b64e5f8e54fcb6a.jpg',493,103,657,530
'0369ba5f1ca089fd.jpg',317,61,405,260
'd128090acdfdb81a.jpg',265,27,374,234
'7ee86b19b3b5cf0d.jpg',138,71,481,429
'7e0f88cb5923b5aa.jpg',305,226,541,615
'e644622bdafc6970.jpg',456,121,591,307
'ba86c13bc5f29da0.jpg',469,138,691,432
'b4d67ba75eb948de.jpg',221,147,305,360
'b033ac258246ada0.jpg',352,97,553,416
'6b6f73576d546cff.jpg',363,86,617,358
'086e52440e08f448.jpg',284,84,649,549
'd47946cc248f34fe.jpg',574,125,752,321
'78a69e0389b575d3.jpg',207,232,340,606
'6ec24da0417c5e8f.jpg',348,249,528,462
'e8e4400a87d5b128.jpg',397,168,530,359
'5b097242df1cbad6.jpg',120,38,536,620
'08eb2407d7c88b7a.jpg',364,124,562,363
'73fc3c1c3fab3056.jpg',438,188,559,428
'eb25280411dd5f82.jpg',351,84,451,199
'c9ba71f6d0ba0496.jpg',237,180,469,511
'411c563428866ef6.jpg',160,8,718,650
'135839876b327579.jpg',525,117,690,384
'997b85d793a24da3.jpg',356,227,468,475
'328f36b3efc0b0c5.jpg',202,180,513,625
'769bafd4c32f8757.jpg',205,252,485,540
'34d1ccf191955c7d.jpg',283,178,411,436
'eb4583fc059aeebc.jpg',386,38,638,430
'fb99336a7c4b8a75.jpg',292,141,393,397
'cfbac2a67f7e114a.jpg',530,116,750,339
'cd31422ba729a5ce.jpg',349,153,432,380
'41cf4b6ce9059577.jpg',398,245,564,553
'83facc2c1d0e798b.jpg',235,119,373,452
'67dcf9e201d8992c.jpg',85,87,574,817
'0361982104d8758a.jpg',202,209,302,521
'ccd801dbc470b7d6.jpg',239,165,386,369
'80d3843275f76918.jpg',211,25,536,493
'c34b93c57db9f3ce.jpg',345,119,600,472
'81debde554f818f7.jpg',426,252,649,641
'e45be2620362aa58.jpg',373,152,519,453
'7bbbee1492088981.jpg',297,94,489,440
'eefa8319542f1d3c.jpg',433,79,614,362
'83675e0f2d5e2e1c.jpg',443,140,623,421
'0336f9e8980b56cb.jpg',272,55,587,432
'67fa86f3a17b3ac3.jpg',376,40,545,267
'06e7adfa2a4e1424.jpg',274,139,621,639
'2e3ffc9a5c09f711.jpg',378,51,685,519
'abcd8ef3c84e68ba.jpg',199,137,430,525
'1a2cebdb5a1f11fd.jpg',236,51,600,481
'5dc8dad608a338ee.jpg',329,321,685,812
'f4523ddfffb3a524.jpg',439,72,583,340
'6e87534e27bf146e.jpg',203,185,473,719
'15e95964614a1499.jpg',370,115,629,618
'6246b3ec6a674f94.jpg',488,51,686,349
'570c37f92c7e34b6.jpg',329,64,478,359
'392f54fc6d3a4294.jpg',231,142,486,500
'8288561fc04eba65.jpg',297,125,452,318
'a163dbaf4f5fbf0b.jpg',310,76,433,293
'53131fa064f6fca6.jpg',221,158,442,627
'2eb73c9776f177c4.jpg',217,154,563,579
'd5012e0722d541d0.jpg',221,103,714,861
'39f16591c457aec1.jpg',356,106,676,592
'1003e4c98b30d38b.jpg',275,352,366,594
'5bc1d3f16c077a39.jpg',127,175,510,695
'4302aba47cfe2674.jpg',416,118,619,393
'82f5f5613846a0e1.jpg',286,54,622,415
'4d57b490b958eb47.jpg',187,218,304,442
'4e51cd8733232363.jpg',274,57,595,520
'0c45ac46bd15ec17.jpg',302,28,491,336
'2229a1741a8ecec5.jpg',274,152,693,589
'14c5532170d056ea.jpg',158,142,507,722
'658376c5d57baf80.jpg',212,32,516,522
'39e3b21ca47af089.jpg',294,56,604,571
'691f8b095d0d1af6.jpg',427,135,628,489
